pais,categoria,subasta_o_tipo,precio_min,precio_max,moneda,tasa_valor,tasa_unidad,importe_minimo,puja_minima,nota,tasa_valor_eur,importe_minimo_eur,moneda_origen_valor
Europa,adquisicion,EuroShop,,,EUR,3.0,%,450.0,,IVA no incluido,,450.0,
Europa,adquisicion,BEV,,,EUR,450.0,EUR,,,IVA no incluido,450.0,,EUR
Europa,adquisicion,Tesla,,,EUR,450.0,EUR,,,IVA no incluido,450.0,,EUR
España,adquisicion,Otros,0.0,249.0,EUR,102.0,EUR,,,,102.0,,EUR
España,adquisicion,Otros,250.0,499.0,EUR,135.0,EUR,,,,135.0,,EUR
España,adquisicion,Otros,500.0,749.0,EUR,181.0,EUR,,,,181.0,,EUR
España,adquisicion,Otros,750.0,999.0,EUR,198.0,EUR,,,,198.0,,EUR
España,adquisicion,Otros,1000.0,1249.0,EUR,215.0,EUR,,,,215.0,,EUR
España,adquisicion,Otros,1250.0,1499.0,EUR,237.0,EUR,,,,237.0,,EUR
España,adquisicion,Otros,1500.0,1749.0,EUR,257.0,EUR,,,,257.0,,EUR
España,adquisicion,Otros,1750.0,1999.0,EUR,279.0,EUR,,,,279.0,,EUR
España,adquisicion,Otros,2000.0,2499.0,EUR,296.0,EUR,,,,296.0,,EUR
España,adquisicion,Otros,2500.0,2999.0,EUR,314.0,EUR,,,,314.0,,EUR
España,adquisicion,Otros,3000.0,3499.0,EUR,337.0,EUR,,,,337.0,,EUR
España,adquisicion,Otros,3500.0,3999.0,EUR,340.0,EUR,,,,340.0,,EUR
España,adquisicion,Otros,4000.0,4499.0,EUR,343.0,EUR,,,,343.0,,EUR
España,adquisicion,Otros,4500.0,4999.0,EUR,347.0,EUR,,,,347.0,,EUR
España,adquisicion,Otros,5000.0,5499.0,EUR,350.0,EUR,,,,350.0,,EUR
España,adquisicion,Otros,5500.0,5999.0,EUR,353.0,EUR,,,,353.0,,EUR
España,adquisicion,Otros,6000.0,6499.0,EUR,357.0,EUR,,,,357.0,,EUR
España,adquisicion,Otros,6500.0,6999.0,EUR,361.0,EUR,,,,361.0,,EUR
España,adquisicion,Otros,7000.0,7499.0,EUR,364.0,EUR,,,,364.0,,EUR
España,adquisicion,Otros,7500.0,7999.0,EUR,367.0,EUR,,,,367.0,,EUR
España,adquisicion,Otros,8000.0,8499.0,EUR,370.0,EUR,,,,370.0,,EUR
España,adquisicion,Otros,8500.0,8999.0,EUR,375.0,EUR,,,,375.0,,EUR
España,adquisicion,Otros,9000.0,9499.0,EUR,378.0,EUR,,,,378.0,,EUR
España,adquisicion,Otros,9500.0,9999.0,EUR,381.0,EUR,,,,381.0,,EUR
España,adquisicion,Otros,10000.0,10499.0,EUR,384.0,EUR,,,,384.0,,EUR
España,adquisicion,Otros,10500.0,10999.0,EUR,388.0,EUR,,,,388.0,,EUR
España,adquisicion,Otros,11000.0,11499.0,EUR,392.0,EUR,,,,392.0,,EUR
España,adquisicion,Otros,11500.0,11999.0,EUR,395.0,EUR,,,,395.0,,EUR
España,adquisicion,Otros,12000.0,12999.0,EUR,398.0,EUR,,,,398.0,,EUR
España,adquisicion,Otros,13000.0,13999.0,EUR,401.0,EUR,,,,401.0,,EUR
España,adquisicion,Otros,14000.0,14999.0,EUR,405.0,EUR,,,,405.0,,EUR
España,adquisicion,Otros,15000.0,15999.0,EUR,409.0,EUR,,,,409.0,,EUR
España,adquisicion,Otros,16000.0,16999.0,EUR,434.0,EUR,,,,434.0,,EUR
España,adquisicion,Otros,17000.0,17999.0,EUR,459.0,EUR,,,,459.0,,EUR
España,adquisicion,Otros,18000.0,18999.0,EUR,484.0,EUR,,,,484.0,,EUR
España,adquisicion,Otros,19000.0,19999.0,EUR,509.0,EUR,,,,509.0,,EUR
España,adquisicion,Otros,20000.0,999999.0,EUR,2.5,%,,,,,,
España,exportacion,Exportación,,,EUR,140.0,EUR,,,,140.0,,EUR
España,documentos,Gestión de documentos,,,EUR,69.77,EUR,,,,69.77,,EUR
España,documentos,Transferencia de documentos,,,EUR,55.7,EUR,,,,55.7,,EUR
España,diagnostico,Informe batería AVILOO,,,EUR,40.0,EUR,,,Aplicado a EV con informe,40.0,,EUR
Austria,adquisicion,Mercedes-Benz Financial Services,,,EUR,2.5,%,300.0,,,,300.0,
Austria,adquisicion,Mercedes-Benz Austria,,,EUR,1.0,%,150.0,,,,150.0,
Austria,adquisicion,Otros,0.0,1499.0,EUR,3.3,%,275.0,,,,275.0,
Austria,adquisicion,Otros,1500.0,,EUR,3.3,%,400.0,,,,400.0,
Austria,adquisicion,Otros,90900.0,,EUR,3000.0,EUR,,,,3000.0,,EUR
Austria,exportacion,Todos,,,EUR,140.0,EUR,,,,140.0,,EUR
