"pais_origen","pais_destino","destino_zip","origen_compound","precio_full_truck_eur","dias_full_truck","precio_passenger_car_eur","precio_suv_eur","precio_lcv1_eur","precio_lcv2_eur","dias_single_cars","tipo_transporte","fuente_archivo"
"Germany","Spain","8902","Bad Hersfeld","4290","27","715","930","1430","2503","27","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
"Germany","Spain","8902","BCA Berlin / Hoppegarten","6270","19","1045","1359","2090","3658","19","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
"Germany","Spain","8902","BCA Heidenheim","4620","19","770","1001","1540","2695","19","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
"Germany","Spain","8902","BCA Neuss","4620","19","770","1001","1540","2695","19","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
"Germany","Spain","8902","Bitterfeld-Wolfen","6270","29","1045","1359","2090","3658","29","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
"Germany","Spain","8902","Bochum ","4950","27","825","1073","1650","2888","27","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
"Germany","Spain","8902","Brackel","5940","19","990","1287","1980","3465","19","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
"Germany","Spain","8902","Braunschweig","5940","27","990","1287","1980","3465","27","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
"Germany","Spain","8902","Bremen","5610","27","935","1216","1870","3273","27","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
"Germany","Spain","8902","Buch","4620","27","770","1001","1540","2695","27","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
"Germany","Spain","8902","Calden","4620","27","770","1001","1540","2695","27","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
"Germany","Spain","8902","Dorfmark / Hartmann Bad Fallingbostel","5940","19","990","1287","1980","3465","19","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
"Germany","Spain","8902","Dortmund","4620","27","770","1001","1540","2695","27","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
"Germany","Spain","8902","Duisburg","4620","27","770","1001","1540","2695","28","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
"Germany","Spain","8902","Duisburg Salloum","4620","27","770","1001","1540","2695","28","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
"Germany","Spain","8902","Düren","4620","27","770","1001","1540","2695","28","On demand door delivery","ViewDeliveryPriceList (5).xlsx"
