location_head,country_canonical
0,Francia
04249 Leipzig-Knautnaundorf,Alemania
04509 Wiedemar,Alemania
06258 Schkopau,Alemania
06780 Zörbig,Alemania
10409 Berlin-Prenzlauer Berg,Alemania
12359 Berlin,Alemania
12459  Berlin-Rummelsburg,Alemania
14669 Ketzin,Alemania
15236 Frankfurt (Oder),Alemania
15366 Hoppegarten,Alemania
16225 Eberswalde,Alemania
16321 Bernau bei Berlin,Alemania
18439 Stralsund,Alemania
19061 Schwerin,Alemania
19370 Parchim,Alemania
21079 Hamburg,Alemania
21272 Egestorf,Alemania
21337 Lüneburg,Alemania
21438 Brackel,Alemania
21465 Reinbek,Alemania
22117 Billstedt/ Hamburg,Alemania
22159 Farmsen/ Hamburg,Alemania
22529 Eppendorf/Hamburg,Alemania
22848 Norderstedt,Alemania
22926 Ahrensburg,Alemania
23558 Lübeck,Alemania
23611 Bad Schwartau,Alemania
23758 Oldenburg,Alemania
23858 Reinfeld,Alemania
24211  Preetz,Alemania
24536  Neumünster-Nord,Alemania
24539  Neumünster-Süd,Alemania
24837 Schleswig,Alemania
25462 Rellingen,Alemania
25746 Heide,Alemania
25813 Husum,Alemania
26,Francia
27751 Delmenhorst,Alemania
28199 Bremen,Alemania
28201 Bremen,Alemania
28207 Bremen,Alemania
28717 Bremen,Alemania
28755 Bremen,Alemania
28757 Bremen,Alemania
28857  Syke,Alemania
29683 Dorfmark,Alemania
2L Rhône-Alpes,Francia
30177 Hannover,Alemania
31135 Hildesheim,Alemania
32429 Minden,Alemania
34123 Kassel,Alemania
35325 Muecke,Alemania
37081 Göttingen,Alemania
38114 Braunschweig Nord,Alemania
38126 Braunschweig,Alemania
38644 Goslar,Alemania
39112 Magdeburg,Alemania
41239 Mönchengladbach,Alemania
41460 Neuss,Alemania
42699 Solingen,Alemania
44145 Dortmund,Alemania
44894 Bochum,Alemania
45327 Essen CAT Essen,Alemania
45525 Hattingen,Alemania
47229 Duisburg,Alemania
48432 Rheine,Alemania
49453 Rehden,Alemania
53909 Zülpich,Alemania
56070 Koblenz,Alemania
60,Francia
61137 Schöneck-Kilianstädten,Alemania
64349 Pfungstadt,Alemania
64560 Riedstadt-Goddelau,Alemania
66802 Überherrn,Alemania
75179 Pforzheim,Alemania
75428 Illingen,Alemania
77971 Kippenheim,Alemania
78727 Oberndorf-Bochingen,Alemania
83512 Wasserburg am Inn,Alemania
85283 Wolnzach,Alemania
85462 Eitting-Gaden,Alemania
89290 Buch,Alemania
89520 Heidenheim,Alemania
95,Francia
97318 Kitzingen,Alemania
AARTSELAAR,Bélgica
ALBIAS,Francia
ALBIAS -82,Francia
ALPHABET NL (Breda),Países Bajos
ANAIS,Francia
Ancona,Italia
Annan Ort,Suecia
Annan Ort ï¿½ 5 additional days for deliver,Suecia
Annan Ort ï¿½ï¿½ï¿½ 5 additional days for d,Suecia
Arctos Janki,Polonia
Arctos Poznań,Polonia
Arctos Raszyn,Polonia
Arval SULOJA Schwalmtal,Alemania
Ascoli Piceno,Italia
auktionsvej 8 Vers. 2,Dinamarca
AUNAY SOUS AUNEAU,Francia
AUNEAU -28,Francia
AUTO BRUOGNOLO SRL,Italia
AUTOCENTER  FERRARA SRL,Italia
AUTOCENTER ARESE,Italia
Autocom Mazowiecki,Polonia
Autocom Mikołów,Polonia
Autoflotas,España
Autoflotas Loeches,España
AUTOSERVICE CAVALLARO di Cavallaro Salvatore,Italia
AUTOVANTI MONZA,Italia
Bad Fallingbostel,Alemania
Bad Salzungen,Alemania
Bapaume,Francia
BARI,Italia
Bawaria Katowice,Polonia
Bawaria Warszawa,Polonia
BCA A Coru a,España
BCA A CORUÑA,España
BCA Alicante,España
BCA Azuqueca,España
BCA Bellvei,España
BCA Finland,Dinamarca
BCA La Luisiana,España
Bca lisboa,Portugal
BCA Lodi,Italia
BCA Madrid,España
BCA Online,Alemania
BCA POLAND,Dinamarca
BCA POMBAL,Portugal
BCA Porto,Portugal
Bca sevilla,España
Bca tarragona,España
BCA Tarragona 2,España
BCAuto Encheres,Francia
BE100 Belcar Zuid,Bélgica
BE110 Belcar Noord,Bélgica
BE130 Belcar Wilrijk,Bélgica
BE140 Belcar Oost,Bélgica
BE500 VAB Genk,Bélgica
Belcar Noord (North),Bélgica
Belcar Oost,Bélgica
Belcar Wilrijk,Bélgica
Belcar Zuid,Bélgica
BELIGNEUX,Francia
BENTIVOGLIO,Italia
Berge Cheste,España
Bergé Ciempozuelos,España
