location_head,country_canonical
0,France
04249 Leipzig-Knautnaundorf,Germany
04509 Wiedemar,Germany
06258 Schkopau,Germany
06780 Zörbig,Germany
10409 Berlin-Prenzlauer Berg,Germany
12359 Berlin,Germany
12459  Berlin-Rummelsburg,Germany
14669 Ketzin,Germany
15236 Frankfurt (Oder),Germany
15366 Hoppegarten,Germany
16225 Eberswalde,Germany
16321 Bernau bei Berlin,Germany
18439 Stralsund,Germany
19061 Schwerin,Germany
19370 Parchim,Germany
21079 Hamburg,Germany
21272 Egestorf,Germany
21337 Lüneburg,Germany
21438 Brackel,Germany
21465 Reinbek,Germany
22117 Billstedt/ Hamburg,Germany
22159 Farmsen/ Hamburg,Germany
22529 Eppendorf/Hamburg,Germany
22848 Norderstedt,Germany
22926 Ahrensburg,Germany
23558 Lübeck,Germany
23611 Bad Schwartau,Germany
23758 Oldenburg,Germany
23858 Reinfeld,Germany
24211  Preetz,Germany
24536  Neumünster-Nord,Germany
24539  Neumünster-Süd,Germany
24837 Schleswig,Germany
25462 Rellingen,Germany
25746 Heide,Germany
25813 Husum,Germany
26,France
27751 Delmenhorst,Germany
28199 Bremen,Germany
28201 Bremen,Germany
28207 Bremen,Germany
28717 Bremen,Germany
28755 Bremen,Germany
28757 Bremen,Germany
28857  Syke,Germany
29683 Dorfmark,Germany
2L Rhône-Alpes,France
30177 Hannover,Germany
31135 Hildesheim,Germany
32429 Minden,Germany
34123 Kassel,Germany
35325 Muecke,Germany
37081 Göttingen,Germany
38114 Braunschweig Nord,Germany
38126 Braunschweig,Germany
38644 Goslar,Germany
39112 Magdeburg,Germany
41239 Mönchengladbach,Germany
41460 Neuss,Germany
42699 Solingen,Germany
44145 Dortmund,Germany
44894 Bochum,Germany
45327 Essen CAT Essen,Germany
45525 Hattingen,Germany
47229 Duisburg,Germany
48432 Rheine,Germany
49453 Rehden,Germany
53909 Zülpich,Germany
56070 Koblenz,Germany
60,France
61137 Schöneck-Kilianstädten,Germany
64349 Pfungstadt,Germany
64560 Riedstadt-Goddelau,Germany
66802 Überherrn,Germany
75179 Pforzheim,Germany
75428 Illingen,Germany
77971 Kippenheim,Germany
78727 Oberndorf-Bochingen,Germany
83512 Wasserburg am Inn,Germany
85283 Wolnzach,Germany
85462 Eitting-Gaden,Germany
89290 Buch,Germany
89520 Heidenheim,Germany
95,France
97318 Kitzingen,Germany
AARTSELAAR,Belgium
ALBIAS,France
ALBIAS -82,France
ALPHABET NL (Breda),Netherlands
ANAIS,France
Ancona,Italy
Annan Ort,Sweden
Annan Ort ï¿½ 5 additional days for deliver,Sweden
Annan Ort ï¿½ï¿½ï¿½ 5 additional days for d,Sweden
Arctos Janki,Poland
Arctos Poznań,Poland
Arctos Raszyn,Poland
Arval SULOJA Schwalmtal,Germany
Ascoli Piceno,Italy
auktionsvej 8 Vers. 2,Denmark
