codigo_ine,municipio,provincia
1051,Agurain/Salvatierra,Araba/Álava
1001,Alegría-Dulantzi,Araba/Álava
1002,Amurrio,Araba/Álava
1049,Añana,Araba/Álava
1003,Aramaio,Araba/Álava
1006,Armiñón,Araba/Álava
1037,Arraia-Maeztu,Araba/Álava
1008,Arratzua-Ubarrundia,Araba/Álava
1004,Artziniega,Araba/Álava
1009,Asparrena,Araba/Álava
1010,Ayala/Aiara,Araba/Álava
1011,Baños de Ebro/Mañueta,Araba/Álava
1013,Barrundia,Araba/Álava
1014,Berantevilla,Araba/Álava
1016,Bernedo,Araba/Álava
1017,Campezo/Kanpezu,Araba/Álava
1021,Elburgo/Burgelu,Araba/Álava
1022,Elciego,Araba/Álava
1023,Elvillar/Bilar,Araba/Álava
1046,Erriberagoitia/Ribera Alta,Araba/Álava
1056,Harana/Valle de Arana,Araba/Álava
1901,Iruña Oka/Iruña de Oca,Araba/Álava
1027,Iruraiz-Gauna,Araba/Álava
1019,Kripan,Araba/Álava
1020,Kuartango,Araba/Álava
1028,Labastida/Bastida,Araba/Álava
1030,Lagrán,Araba/Álava
1031,Laguardia,Araba/Álava
1032,Lanciego/Lantziego,Araba/Álava
1902,Lantarón,Araba/Álava
1033,Lapuebla de Labarca,Araba/Álava
1036,Laudio/Llodio,Araba/Álava
1058,Legutio,Araba/Álava
1034,Leza,Araba/Álava
1039,Moreda de Álava/Moreda Araba,Araba/Álava
1041,Navaridas,Araba/Álava
1042,Okondo,Araba/Álava
1043,Oyón-Oion,Araba/Álava
1044,Peñacerrada-Urizaharra,Araba/Álava
1047,Ribera Baja/Erriberabeitia,Araba/Álava
1052,Samaniego,Araba/Álava
1053,San Millán/Donemiliaga,Araba/Álava
1054,Urkabustaiz,Araba/Álava
1055,Valdegovía/Gaubea,Araba/Álava
1057,Villabuena de Álava/Eskuernaga,Araba/Álava
1059,Vitoria-Gasteiz,Araba/Álava
1060,Yécora/Iekora,Araba/Álava
1061,Zalduondo,Araba/Álava
1062,Zambrana,Araba/Álava
1018,Zigoitia,Araba/Álava
1063,Zuia,Araba/Álava
2001,Abengibre,Albacete
2002,Alatoz,Albacete
2003,Albacete,Albacete
2004,Albatana,Albacete
2005,Alborea,Albacete
2006,Alcadozo,Albacete
2007,Alcalá del Júcar,Albacete
2008,Alcaraz,Albacete
2009,Almansa,Albacete
2010,Alpera,Albacete
2011,Ayna,Albacete
2012,Balazote,Albacete
2014,"Ballestero, El",Albacete
2013,Balsa de Ves,Albacete
2015,Barrax,Albacete
2016,Bienservida,Albacete
2017,Bogarra,Albacete
2018,Bonete,Albacete
2019,"Bonillo, El",Albacete
2020,Carcelén,Albacete
2021,Casas de Juan Núñez,Albacete
2022,Casas de Lázaro,Albacete
2023,Casas de Ves,Albacete
2024,Casas-Ibáñez,Albacete
2025,Caudete,Albacete
2026,Cenizate,Albacete
2029,Chinchilla de Monte-Aragón,Albacete
2027,Corral-Rubio,Albacete
2028,Cotillas,Albacete
2030,Elche de la Sierra,Albacete
2031,Férez,Albacete
2032,Fuensanta,Albacete
2033,Fuente-Álamo,Albacete
2034,Fuentealbilla,Albacete
2035,"Gineta, La",Albacete
2036,Golosalvo,Albacete
2037,Hellín,Albacete
2038,"Herrera, La",Albacete
2039,Higueruela,Albacete
2040,Hoya-Gonzalo,Albacete
2041,Jorquera,Albacete
2042,Letur,Albacete
2043,Lezuza,Albacete
2044,Liétor,Albacete
2045,Madrigueras,Albacete
2046,Mahora,Albacete
2047,Masegoso,Albacete
2048,Minaya,Albacete
2049,Molinicos,Albacete
2050,Montalvos,Albacete
2051,Montealegre del Castillo,Albacete
2052,Motilleja,Albacete
2053,Munera,Albacete
2054,Navas de Jorquera,Albacete
2055,Nerpio,Albacete
2056,Ontur,Albacete
2057,Ossa de Montiel,Albacete
2058,Paterna del Madera,Albacete
2060,Peñas de San Pedro,Albacete
2059,Peñascosa,Albacete
2061,Pétrola,Albacete
2062,Povedilla,Albacete
2901,Pozo Cañada,Albacete
2063,Pozohondo,Albacete
2064,Pozo-Lorente,Albacete
2065,Pozuelo,Albacete
2066,"Recueja, La",Albacete
2067,Riópar,Albacete
2068,Robledo,Albacete
2069,"Roda, La",Albacete
2070,Salobre,Albacete
2071,San Pedro,Albacete
2072,Socovos,Albacete
2073,Tarazona de la Mancha,Albacete
2074,Tobarra,Albacete
2075,Valdeganga,Albacete
2076,Vianos,Albacete
2077,Villa de Ves,Albacete
2078,Villalgordo del Júcar,Albacete
2079,Villamalea,Albacete
2080,Villapalacios,Albacete
2081,Villarrobledo,Albacete
2082,Villatoya,Albacete
2083,Villavaliente,Albacete
2084,Villaverde de Guadalimar,Albacete
2085,Viveros,Albacete
2086,Yeste,Albacete
3002,Agost,Alicante/Alacant
3003,Agres,Alicante/Alacant
3004,Aigües,Alicante/Alacant
3014,Alacant/Alicante,Alicante/Alacant
3005,Albatera,Alicante/Alacant
3006,Alcalalí,Alicante/Alacant
3009,Alcoi/Alcoy,Alicante/Alacant
3008,Alcoleja,Alicante/Alacant
3007,Alcosser,Alicante/Alacant
3010,Alfafara,Alicante/Alacant
3011,"Alfàs del Pi, l'",Alicante/Alacant
3012,Algorfa,Alicante/Alacant
3013,Algueña,Alicante/Alacant
3015,Almoradí,Alicante/Alacant
3016,Almudaina,Alicante/Alacant
3017,"Alqueria d'Asnar, l'",Alicante/Alacant
3018,Altea,Alicante/Alacant
3019,Aspe,Alicante/Alacant
3001,"Atzúbia, l'",Alicante/Alacant
3020,Balones,Alicante/Alacant
3021,Banyeres de Mariola,Alicante/Alacant
3022,Benasau,Alicante/Alacant
3023,Beneixama,Alicante/Alacant
3024,Benejúzar,Alicante/Alacant
3025,Benferri,Alicante/Alacant
3026,Beniarbeig,Alicante/Alacant
3027,Beniardà,Alicante/Alacant
3028,Beniarrés,Alicante/Alacant
3030,Benidoleig,Alicante/Alacant
3031,Benidorm,Alicante/Alacant
3032,Benifallim,Alicante/Alacant
3033,Benifato,Alicante/Alacant
3029,Benigembla,Alicante/Alacant
3034,Benijófar,Alicante/Alacant
3035,Benilloba,Alicante/Alacant
3036,Benillup,Alicante/Alacant
3037,Benimantell,Alicante/Alacant
3038,Benimarfull,Alicante/Alacant
3039,Benimassot,Alicante/Alacant
3040,Benimeli,Alicante/Alacant
3041,Benissa,Alicante/Alacant
3043,Biar,Alicante/Alacant
3044,Bigastro,Alicante/Alacant
3045,Bolulla,Alicante/Alacant
3046,Busot,Alicante/Alacant
3049,Callosa de Segura,Alicante/Alacant
3048,Callosa d'en Sarrià,Alicante/Alacant
3047,Calp,Alicante/Alacant
3051,"Camp de Mirra, el/Campo de Mirra",Alicante/Alacant
3050,"Campello, el",Alicante/Alacant
3052,Cañada,Alicante/Alacant
3053,Castalla,Alicante/Alacant
3054,Castell de Castells,Alicante/Alacant
3075,"Castell de Guadalest, el",Alicante/Alacant
3055,Catral,Alicante/Alacant
3056,Cocentaina,Alicante/Alacant
3057,Confrides,Alicante/Alacant
3058,Cox,Alicante/Alacant
3059,Crevillent,Alicante/Alacant
3061,Daya Nueva,Alicante/Alacant
3062,Daya Vieja,Alicante/Alacant
3063,Dénia,Alicante/Alacant
3064,Dolores,Alicante/Alacant
3066,Elda,Alicante/Alacant
3065,Elx/Elche,Alicante/Alacant
