make_clean,modelo_base,segmento
ABARTH,500,A
ABARTH,124 SPIDER,S
ABARTH,595,A
ABARTH,595C,A
ABARTH,695,A
ABARTH,GRANDE PUNTO,B
ABARTH,PUNTO,B
ADRIA,ALTEA,M
ADRIA,TWIN,M
AIWAYS,U5,JD
AIXAM,CITY,A
ALFA ROMEO,4C,S
ALFA ROMEO,145,C
ALFA ROMEO,146,C
ALFA ROMEO,147,C
ALFA ROMEO,155,D
ALFA ROMEO,156,D
ALFA ROMEO,159,D
ALFA ROMEO,164,E
ALFA ROMEO,166,E
ALFA ROMEO,33,C
ALFA ROMEO,75,D
ALFA ROMEO,90,E
ALFA ROMEO,BRERA,S
ALFA ROMEO,CROSSWAGON,D
ALFA ROMEO,GIULIA,D
ALFA ROMEO,GIULIETTA,C
ALFA ROMEO,GT,S
ALFA ROMEO,MITO,B
ALFA ROMEO,JUNIOR,C
ALFA ROMEO,TONALE,JD
ALFA ROMEO,SPIDER,S
ALFA ROMEO,STELVIO,JD
ALPINA,XD3,JD
ALPINE RENAULT,A108,S
APEX,ONYX GX,S
APRILIA,MANA,S
APRILIA,PEGASO,S
ARO,10,JD
ARO,24,JE
ARO,DACIA,JD
ARO,EXPANDER,JE
ASIA MOTORS,ROCSTA,JD
ASTON MARTIN,CYGNET,F
ASTON MARTIN,DB7,F
ASTON MARTIN,DB9,F
ASTON MARTIN,DBS,F
ASTON MARTIN,RAPIDE,F
ASTON MARTIN,V8,F
ASTON MARTIN,VANQUISH,F
ASTON MARTIN,VANTAGE,F
ASTON MARTIN,VIRAGE,F
ASTON MARTIN,VOLANTE,F
AUDI,A1,B
AUDI,A2,B
AUDI,A3,C
AUDI,A4,D
AUDI,A5,D
AUDI,A6,E
AUDI,A7,E
AUDI,A8,F
AUDI,ALLROAD,D
AUDI,CABRIOLET,S
AUDI,COUPE,S
AUDI,E-TRON,D
AUDI,Q2,JC
AUDI,Q3,JC
AUDI,Q4,JC
AUDI,Q5,JD
AUDI,Q6,D
AUDI,Q7,JE
AUDI,Q8,JE
AUDI,R8,S
AUDI,RS2,S
AUDI,RS3,S
AUDI,RS4,S
AUDI,RS5,S
AUDI,RS6,S
AUDI,RS7,S
AUDI,S1,S
AUDI,S2,S
AUDI,S3,S
AUDI,S4,S
AUDI,S5,S
AUDI,S6,S
AUDI,S7,S
AUDI,S8,S
AUDI,SQ2,JC
AUDI,SQ5,JD
